JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
LAGUNA BEACH,2052723.6240054537,Total,trans-Nonachlor,1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,Trichloronate,1,ng/L,2052723.6240054537,1.2814724315296042e-4
LAGUNA BEACH,2052723.6240054537,Total,"Arsenic, Total",1.37,ug/L,2812231.364887472,0.1755617231195558
LAGUNA BEACH,2052723.6240054537,Dissolved,"Arsenic, Total",1.37,ug/L,2812231.364887472,0.1755617231195558
LAGUNA BEACH,2052723.6240054537,Total,"Cadmium, Total",0.1,ug/L,205272.3624005454,0.012814724315296046
LAGUNA BEACH,2052723.6240054537,Dissolved,"Cadmium, Total",0.1,ug/L,205272.3624005454,0.012814724315296046
LAGUNA BEACH,2052723.6240054537,Total,"Calcium, Total",303.5,ug/L,623001619.8856552,38.89268829692349
LAGUNA BEACH,2052723.6240054537,Total,Chromium 6+,0.0494,ug/L,101404.54702586941,0.006330473811756246
LAGUNA BEACH,2052723.6240054537,Dissolved,Chromium 6+,0.0494,ug/L,101404.54702586941,0.006330473811756246
LAGUNA BEACH,2052723.6240054537,Total,"Chromium, Total",0.134,ug/L,275064.9656167308,0.017171730582496703
LAGUNA BEACH,2052723.6240054537,Dissolved,"Chromium, Total",0.134,ug/L,275064.9656167308,0.017171730582496703
LAGUNA BEACH,2052723.6240054537,Total,"Copper, Total",1.8375,ug/L,3771879.659110021,0.23547055929356478
LAGUNA BEACH,2052723.6240054537,Dissolved,"Copper, Total",1.8375,ug/L,3771879.659110021,0.23547055929356478
LAGUNA BEACH,2052723.6240054537,Total,Dissolved Organic Carbon,5.825,ug/L,11957115.109831767,0.7464576913659946
LAGUNA BEACH,2052723.6240054537,Total,"Hardness as CaCO3, Total",2275,ug/L,4669946244.612407,291.534978172985
LAGUNA BEACH,2052723.6240054537,Total,"Iron, Total",40,ug/L,82108944.96021815,5.125889726118417
LAGUNA BEACH,2052723.6240054537,Dissolved,"Iron, Total",40,ug/L,82108944.96021815,5.125889726118417
LAGUNA BEACH,2052723.6240054537,Total,"Lead, Total",0.1,ug/L,205272.3624005454,0.012814724315296046
LAGUNA BEACH,2052723.6240054537,Dissolved,"Lead, Total",0.1,ug/L,205272.3624005454,0.012814724315296046
LAGUNA BEACH,2052723.6240054537,Total,"Magnesium, Total",368.25,ug/L,755915474.5400083,47.19022229107768
LAGUNA BEACH,2052723.6240054537,Total,"Manganese, Total",64.875,ug/L,133170445.1073538,8.313552399548309
LAGUNA BEACH,2052723.6240054537,Dissolved,"Manganese, Total",64.875,ug/L,133170445.1073538,8.313552399548309
LAGUNA BEACH,2052723.6240054537,Total,MBAS,0.025,mg/L,51318.09060013635,3.2036810788240113
LAGUNA BEACH,2052723.6240054537,Total,"Mercury, Total",0.025,ug/L,51318.09060013635,0.0032036810788240114
LAGUNA BEACH,2052723.6240054537,Dissolved,"Mercury, Total",0.025,ug/L,51318.09060013635,0.0032036810788240114
LAGUNA BEACH,2052723.6240054537,Total,"Nickel, Total",2.2,ug/L,4515991.972811999,0.281923934936513
LAGUNA BEACH,2052723.6240054537,Dissolved,"Nickel, Total",2.2,ug/L,4515991.972811999,0.281923934936513
