JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
LAGUNA HILLS,Dissolved,"Chromium, Total",0.017035293,0.750928893,0.767964185
LAGUNA NIGUEL,Dissolved,"Chromium, Total",0.306882957,2.127115463,2.43399842
LAGUNA WOODS,Dissolved,"Chromium, Total",0.031678106,0,0.031678106
LAKE FOREST,Dissolved,"Chromium, Total",0.064846552,0.209581444,0.274427996
MISSION VIEJO,Dissolved,"Chromium, Total",0.213679008,0.383837572,0.597516581
UNINCORPORATED,Dissolved,"Chromium, Total",0.797795798,1.361879722,2.159675519
RANCHO SANTA MARGARITA,Dissolved,"Chromium, Total",0.179647099,0.173596573,0.353243672
SAN CLEMENTE,Dissolved,"Chromium, Total",0.094857122,0.459275701,0.554132823
SAN JUAN CAPISTRANO,Dissolved,"Chromium, Total",0.067979299,0.076963784,0.144943083
ALISO VIEJO,Dissolved,"Copper, Total",0.786928714,2.859431972,3.646360686
DANA POINT,Dissolved,"Copper, Total",1.437151911,3.566414107,5.003566018
LAGUNA BEACH,Dissolved,"Copper, Total",0.045261617,0.235470559,0.280732176
LAGUNA HILLS,Dissolved,"Copper, Total",0.132023517,7.555642561,7.687666078
LAGUNA NIGUEL,Dissolved,"Copper, Total",3.223635988,29.83105342,33.05468941
LAGUNA WOODS,Dissolved,"Copper, Total",0.254093538,0,0.254093538
LAKE FOREST,Dissolved,"Copper, Total",0.382225608,2.190800178,2.573025786
MISSION VIEJO,Dissolved,"Copper, Total",1.749420839,6.700197252,8.449618091
UNINCORPORATED,Dissolved,"Copper, Total",4.30107699,11.88794498,16.18902197
RANCHO SANTA MARGARITA,Dissolved,"Copper, Total",4.279858538,2.727690743,7.007549281
SAN CLEMENTE,Dissolved,"Copper, Total",0.827371365,3.374869367,4.202240732
SAN JUAN CAPISTRANO,Dissolved,"Copper, Total",0.716849815,1.035519346,1.752369161
ALISO VIEJO,Dissolved,"Iron, Total",5.853243115,55.04873415,60.90197726
DANA POINT,Dissolved,"Iron, Total",15.6283551,82.43596217,98.06431727
LAGUNA BEACH,Dissolved,"Iron, Total",0.511919883,5.125889726,5.637809609
LAGUNA HILLS,Dissolved,"Iron, Total",0.425882314,27.81218121,28.23806352
LAGUNA NIGUEL,Dissolved,"Iron, Total",27.39760734,394.724949,422.1225563
LAGUNA WOODS,Dissolved,"Iron, Total",1.634178917,0,1.634178917
LAKE FOREST,Dissolved,"Iron, Total",1.749179935,34.56255386,36.31173379
MISSION VIEJO,Dissolved,"Iron, Total",26.42128819,126.0558294,152.4771176
UNINCORPORATED,Dissolved,"Iron, Total",87.8451664,235.0285361,322.8737025
RANCHO SANTA MARGARITA,Dissolved,"Iron, Total",60.19240506,57.17423686,117.3666419
SAN CLEMENTE,Dissolved,"Iron, Total",11.60677415,63.69318676,75.29996091
SAN JUAN CAPISTRANO,Dissolved,"Iron, Total",5.813983854,27.88154935,33.69553321
ALISO VIEJO,Dissolved,"Lead, Total",0.030984679,0.113356881,0.144341561
DANA POINT,Dissolved,"Lead, Total",0.028498161,0.071191376,0.099689537
LAGUNA BEACH,Dissolved,"Lead, Total",0.002595188,0.012814724,0.015409912
LAGUNA HILLS,Dissolved,"Lead, Total",0.004258823,0.185414541,0.189673365
LAGUNA NIGUEL,Dissolved,"Lead, Total",0.070221938,0.681779235,0.752001173
LAGUNA WOODS,Dissolved,"Lead, Total",0.008342714,0,0.008342714
LAKE FOREST,Dissolved,"Lead, Total",0.017491799,0.106629156,0.124120955
MISSION VIEJO,Dissolved,"Lead, Total",0.05868359,0.176284738,0.234968327
UNINCORPORATED,Dissolved,"Lead, Total",0.251458827,0.314317714,0.565776542
RANCHO SANTA MARGARITA,Dissolved,"Lead, Total",0.109699116,0.057209993,0.166909109
SAN CLEMENTE,Dissolved,"Lead, Total",0.027720447,0.07825784,0.105978287
SAN JUAN CAPISTRANO,Dissolved,"Lead, Total",0.016286058,0.02531512,0.041601178
ALISO VIEJO,Dissolved,"Manganese, Total",13.1722288,62.11646345,75.28869224
DANA POINT,Dissolved,"Manganese, Total",83.9224981,72.54674992,156.469248
LAGUNA BEACH,Dissolved,"Manganese, Total",1.608681968,8.3135524,9.922234368
LAGUNA HILLS,Dissolved,"Manganese, Total",13.41529288,579.4204418,592.8357347
LAGUNA NIGUEL,Dissolved,"Manganese, Total",204.7039731,919.9394535,1124.643427
LAGUNA WOODS,Dissolved,"Manganese, Total",25.79080895,0,25.79080895
LAKE FOREST,Dissolved,"Manganese, Total",18.67857686,111.3018412,129.9804181
MISSION VIEJO,Dissolved,"Manganese, Total",258.2858032,404.2613018,662.5471051
UNINCORPORATED,Dissolved,"Manganese, Total",133.9352168,953.4996248,1087.434842
RANCHO SANTA MARGARITA,Dissolved,"Manganese, Total",163.4735252,69.18322737,232.6567526
SAN CLEMENTE,Dissolved,"Manganese, Total",80.75492582,4074.372182,4155.127108
SAN JUAN CAPISTRANO,Dissolved,"Manganese, Total",4.484384883,5.26379908,9.748183963
ALISO VIEJO,Dissolved,"Nickel, Total",1.465803684,4.79655158,6.262355264
DANA POINT,Dissolved,"Nickel, Total",6.053973751,5.184844419,11.23881817
LAGUNA BEACH,Dissolved,"Nickel, Total",0.057834123,0.281923935,0.339758058
LAGUNA HILLS,Dissolved,"Nickel, Total",0.178870572,7.787410738,7.966281309
LAGUNA NIGUEL,Dissolved,"Nickel, Total",14.21050324,69.38131522,83.59181846
LAGUNA WOODS,Dissolved,"Nickel, Total",0.337681765,0,0.337681765
LAKE FOREST,Dissolved,"Nickel, Total",0.581036208,1.820049379,2.401085586
MISSION VIEJO,Dissolved,"Nickel, Total",12.13241595,27.66308458,39.79550053
UNINCORPORATED,Dissolved,"Nickel, Total",32.43217277,91.81569677,124.2478695
RANCHO SANTA MARGARITA,Dissolved,"Nickel, Total",3.922936614,4.787573107,8.710509722
SAN CLEMENTE,Dissolved,"Nickel, Total",10.62790051,384.2411052,394.8690057
SAN JUAN CAPISTRANO,Dissolved,"Nickel, Total",0.476891144,0.609963451,1.086854595
ALISO VIEJO,Dissolved,"Silver, Total",0.022419269,0.066789652,0.089208921
DANA POINT,Dissolved,"Silver, Total",0.028498161,0.054762597,0.083260758
LAGUNA BEACH,Dissolved,"Silver, Total",0.002595188,0.012814724,0.015409912
LAGUNA HILLS,Dissolved,"Silver, Total",0.004258823,0.185414541,0.189673365
LAGUNA NIGUEL,Dissolved,"Silver, Total",0.070221938,0.582424472,0.65264641
LAGUNA WOODS,Dissolved,"Silver, Total",0.007961015,0,0.007961015
LAKE FOREST,Dissolved,"Silver, Total",0.017491799,0.061281124,0.078772923
MISSION VIEJO,Dissolved,"Silver, Total",0.05868359,0.128540954,0.187224544
UNINCORPORATED,Dissolved,"Silver, Total",0.251458827,0.314317714,0.565776542
RANCHO SANTA MARGARITA,Dissolved,"Silver, Total",0.109699116,0.057209993,0.166909109
SAN CLEMENTE,Dissolved,"Silver, Total",0.027720447,0.07825784,0.105978287
SAN JUAN CAPISTRANO,Dissolved,"Silver, Total",0.016286058,0.017458703,0.033744762
ALISO VIEJO,Dissolved,"Zinc, Total",6.463542984,16.06132105,22.52486404
DANA POINT,Dissolved,"Zinc, Total",4.071133404,5.495817736,9.56695114
LAGUNA BEACH,Dissolved,"Zinc, Total",0.129759379,0.640736216,0.770495595
LAGUNA HILLS,Dissolved,"Zinc, Total",0.63882347,14.36962696,15.00845043
LAGUNA NIGUEL,Dissolved,"Zinc, Total",9.71749766,67.66401954,77.3815172
LAGUNA WOODS,Dissolved,"Zinc, Total",1.199960767,0,1.199960767
LAKE FOREST,Dissolved,"Zinc, Total",1.343608528,4.902489909,6.246098437
MISSION VIEJO,Dissolved,"Zinc, Total",5.860145817,15.8105374,21.67068322
UNINCORPORATED,Dissolved,"Zinc, Total",26.33546669,39.28971429,65.62518098
RANCHO SANTA MARGARITA,Dissolved,"Zinc, Total",11.34674694,5.966184995,17.31293193
SAN CLEMENTE,Dissolved,"Zinc, Total",5.787374003,89.28508154,95.07245554
SAN JUAN CAPISTRANO,Dissolved,"Zinc, Total",1.493766864,1.440343032,2.934109896
