JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
DANA POINT,Total,Total Organic Carbon (TOC),mg/L,4490.532926052253,4490.532926052253
DANA POINT,Total,"Zinc, Total",ug/L,5.495817736152802,5.495817736152802
DANA POINT,Dissolved,"Zinc, Total",ug/L,5.495817736152802,5.495817736152802
DANA POINT,Total,"Ammonia, as Nitrogen",mg/L,106.39590208068056,106.39590208068056
DANA POINT,Total,Nitrate + Nitrite as N,mg/L,961.99628131282,961.99628131282
DANA POINT,Total,"Nitrogen, Total Kjeldahl",mg/L,930.5077882337952,930.5077882337952
DANA POINT,Total,Orthophosphate as P,mg/L,152.42256070136713,152.42256070136713
DANA POINT,Total,pH,NA,NA,NA
DANA POINT,Total,Phosphorus as PO4,mg/L,765.3072883119542,765.3072883119542
DANA POINT,Total,Sulfate,mg/L,381969.1116977374,381969.1116977374
DANA POINT,Total,Total Dissolved Solids,mg/L,1199300.8668359066,1199300.8668359066
DANA POINT,Total,VSS,mg/L,2159.2109539902817,2159.2109539902817
DANA POINT,Total,TSS,mg/L,3532.1874845167113,3532.1874845167113
DANA POINT,Total,E. coli,CFU/100 mL,4577492302072.618,4577492302072.618
DANA POINT,Total,Enterococcus,CFU/100 mL,14254540123279.566,14254540123279.566
DANA POINT,Total,Fecal coliforms,CFU/100 mL,7769558277301.62,7769558277301.62
DANA POINT,Total,Total Coliforms,CFU/100 mL,62915856705438.56,62915856705438.56
LAGUNA BEACH,Total,d10-Acenaphthene,ng/L,0.008649938912824829,0.008649938912824829
LAGUNA BEACH,Total,d10-Phenanthrene,ng/L,0.010059558587507395,0.010059558587507395
LAGUNA BEACH,Total,d12-Chrysene,ng/L,0.011981767234801802,0.011981767234801802
LAGUNA BEACH,Total,d8-Naphthalene,ng/L,0.007272356048930504,0.007272356048930504
LAGUNA BEACH,Total,PCB030,ng/L,0.010347889884601552,0.010347889884601552
LAGUNA BEACH,Total,PCB112,ng/L,0.011244920586672277,0.011244920586672277
LAGUNA BEACH,Total,PCB198,ng/L,0.01172547274849588,0.01172547274849588
LAGUNA BEACH,Total,TCMX,ng/L,0.008489754858883628,0.008489754858883628
LAGUNA BEACH,Total,"2,4'-DDD",ng/L,1.2814724315296042e-4,1.2814724315296042e-4
